Rain,NPP
364,394
419,414
608,278
1322,940
1199,599
2213,1088
1067,598
500,688
429,508
465,323
476,410
298,193
2005,1042
2212,1133
2149,1133
3443,933
2295,1495
2308,1135
1820,1347
1469,1069
2786,1455
2368,1678
943,1029
3497,879
2826,674
2586,661
3015,554
3013,661
1363,956
679,301
424,565
433,808
370,226
362,264
420,218
419,220
564,599
627,316
688,406
293,178
608,156
543,438
253,517
507,368
522,143
511,356
560,152
1031,732
783,1069
1230,646
36,330
70,110
92,400
107,190
129,310
153,280
175,128
206,346
208,154
223,330
232,420
251,760
253,243
279,760
280,380
281,356
282,740
291,370
293,160
295,450
295,400
298,190
310,334
314,64
320,704
338,390
361,790
362,590
362,250
364,295
370,220
371,231
371,615
371,430
373,487
374,321
374,269
374,231
376,161
378,225
378,280
379,630
384,370
387,460
387,299
395,97
400,154
400,790
400,350
403,290
405,354
406,810
410,1000
410,460
412,370
418,167
419,370
419,210
420,210
420,256
422,260
423,520
424,570
424,115
429,154
430,192
432,680
432,550
432,179
433,187
434,500
440,520
446,300
447,380
448,390
450,480
454,320
454,462
455,330
456,686
456,350
461,480
462,860
470,330
471,550
471,470
472,420
475,244
477,535
483,370
484,330
491,530
492,260
493,270
496,370
496,395
499,260
503,260
506,308
515,465
517,515
519,490
520,430
521,370
531,830
535,600
536,390
539,430
539,510
541,570
543,550
544,360
545,320
546,420
548,444
550,128
550,400
551,530
551,435
552,560
552,430
553,420
557,920
560,1090
560,436
561,520
561,340
562,580
563,455
564,495
565,360
569,310
572,600
573,580
574,370
576,675
576,890
576,372
577,436
578,335
579,474
579,160
580,300
581,600
581,403
582,551
582,250
584,470
586,340
586,440
586,256
588,170
589,630
591,410
591,770
592,1064
593,450
594,583
596,598
596,650
597,273
600,692
600,300
601,720
601,290
602,1222
602,610
605,565
606,1010
608,257
609,230
611,400
612,397
614,440
614,490
615,1040
616,430
618,540
619,150
624,780
624,346
627,430
627,473
627,315
628,590
630,650
630,449
630,260
632,532
635,260
636,530
637,280
638,167
638,410
639,260
640,458
641,615
641,470
644,436
644,590
647,290
648,560
648,530
649,269
649,900
650,620
651,360
654,635
656,790
656,885
658,830
659,745
660,700
662,199
664,680
666,580
666,690
669,455
670,780
671,660
672,270
674,590
677,610
677,700
679,305
680,850
685,400
686,590
687,530
688,356
689,785
691,756
693,538
693,547
694,462
694,585
694,450
695,526
696,526
697,226
697,400
698,192
699,378
699,695
701,500
701,538
701,590
701,179
701,320
702,731
702,462
702,603
703,530
704,333
704,265
706,244
706,510
706,450
708,205
709,333
709,225
709,218
709,167
709,269
709,244
710,192
710,500
710,333
710,282
711,360
712,423
712,423
713,500
715,460
716,990
722,610
724,695
731,427
737,580
737,830
738,1231
740,1000
743,580
746,583
747,650
748,540
749,436
752,427
766,780
767,235
769,410
770,316
772,635
775,540
778,385
778,679
779,628
785,840
789,610
789,595
790,372
791,480
794,167
794,553
795,470
798,372
799,538
800,538
802,494
803,430
806,270
807,667
810,440
814,556
815,700
819,449
820,624
824,515
825,635
828,650
829,590
829,410
835,366
838,423
838,385
840,317
841,820
844,450
845,400
847,720
849,720
853,790
854,660
855,630
855,990
855,540
858,445
858,670
860,410
862,900
862,380
867,400
873,710
874,430
876,620
876,200
883,740
884,520
888,1064
888,710
890,407
892,449
893,760
899,840
899,690
901,550
904,744
904,410
917,440
919,1082
921,550
922,610
928,269
930,675
932,526
932,600
935,231
936,603
941,620
943,600
944,744
945,730
947,680
956,760
962,380
963,690
964,100
964,897
968,505
973,720
976,680
980,420
984,620
985,710
985,770
988,710
990,621
992,780
992,1110
997,949
1004,680
1012,590
1022,680
1024,949
1027,620
1033,615
1034,480
1035,730
1039,810
1039,730
1046,1030
1050,840
1051,490
1054,610
1055,810
1061,850
1063,960
1067,283
1068,590
1068,397
1068,607
1069,598
1070,640
1071,530
1078,510
1079,488
1080,230
1080,1426
1083,500
1084,585
1086,380
1089,526
1091,397
1093,613
1093,1125
1095,590
1096,430
1097,640
1098,670
1103,513
1107,580
1108,620
1108,570
1108,840
1108,272
1111,400
1115,580
1116,687
1117,1040
1120,321
1126,744
1127,551
1127,530
1127,500
1127,679
1128,698
1131,885
1131,620
1132,550
1135,244
1135,1260
1137,930
1137,930
1137,549
1138,1110
1139,510
1139,740
1140,940
1141,480
1144,1110
1145,940
1146,1010
1149,1093
1150,950
1151,1110
1152,820
1155,700
1155,420
1156,380
1157,1310
1158,179
1160,1020
1160,1220
1161,810
1161,565
1162,1085
1162,800
1163,718
1163,507
1164,1570
1165,1123
1165,718
1167,550
1167,900
1167,533
1169,780
1170,610
1171,620
1172,526
1174,680
1174,650
1175,740
1176,1060
1176,660
1180,872
1180,450
1184,980
1184,600
1189,680
1192,540
1192,800
1193,1010
1194,940
1198,660
1199,600
1200,1080
1205,520
1205,570
1206,1107
1209,179
1212,1480
1217,510
1217,560
1222,740
1223,850
1224,731
1226,795
1228,900
1230,393
1236,1080
1238,410
1241,930
1243,750
1243,650
1250,385
1251,574
1252,1090
1257,460
1263,581
1272,510
1273,1030
1276,910
1278,685
1278,540
1278,600
1278,380
1279,460
1280,660
1284,780
1286,910
1287,820
1287,760
1289,930
1289,850
1290,840
1290,1000
1290,620
1292,808
1294,420
1296,850
1297,600
1301,372
1302,440
1307,870
1308,675
1308,648
1309,620
1311,717
1314,510
1315,1550
1316,1034
1320,471
1321,1000
1323,1430
1325,1110
1325,410
1330,731
1330,920
1332,787
1340,1210
1341,700
1341,910
1341,462
1343,808
1344,910
1344,480
1348,840
1350,1250
1351,801
1352,710
1353,491
1355,523
1356,603
1357,816
1358,450
1361,616
1362,1222
1371,780
1374,1430
1374,1188
1379,512
1389,750
1390,1170
1392,570
1394,1180
1396,880
1397,690
1397,800
1399,650
1402,1017
1403,366
1405,610
1407,674
1407,550
1410,820
1413,430
1413,490
1417,690
1418,785
1419,461
1419,890
1424,540
1427,1170
1439,333
1441,1360
1442,1110
1445,720
1446,939
1449,780
1453,730
1454,715
1456,821
1458,1170
1463,410
1464,833
1465,526
1466,660
1468,690
1469,1143
1476,500
1477,1080
1478,390
1480,603
1484,260
1485,620
1491,1260
1492,1090
1493,1393
1494,690
1497,620
1497,650
1503,410
1515,1611
1516,962
1517,1480
1523,400
1526,990
1527,474
1531,920
1531,330
1532,430
1534,1200
1534,760
1534,770
1537,1064
1537,1107
1545,1390
1558,1580
1558,1280
1559,1060
1562,1480
1564,1130
1564,810
1564,468
1565,680
1566,980
1566,1270
1576,890
1577,1050
1578,1170
1581,860
1581,850
1581,660
1583,1260
1584,980
1584,462
1590,1070
1591,730
1594,580
1595,540
1595,640
1608,1010
1609,640
1612,726
1615,1350
1615,820
1616,540
1622,568
1635,1230
1635,500
1637,815
1637,1250
1642,1190
1642,1110
1644,1210
1646,481
1648,1130
1650,660
1650,840
1652,830
1658,940
1659,1000
1660,1310
1665,1080
1665,770
1666,890
1678,460
1678,569
1680,1390
1687,480
1687,1180
1691,770
1692,677
1696,910
1699,673
1700,925
1701,680
1701,500
1704,730
1707,1430
1711,930
1711,450
1714,1180
1715,970
1716,1260
1716,244
1721,640
1724,1020
1725,1150
1730,1470
1732,662
1734,513
1735,970
1739,372
1742,1090
1749,505
1757,1120
1759,920
1760,420
1763,1440
1763,700
1764,1050
1767,1140
1774,1103
1778,590
1781,940
1795,1490
1797,1140
1820,769
1830,833
1830,920
1834,706
1836,425
1845,1175
1846,1500
1851,640
1853,1460
1857,1420
1865,550
1865,529
1875,1540
1877,770
1878,360
1880,710
1890,462
1907,800
1908,1240
1922,550
1924,1280
1930,800
1935,740
1945,810
1948,1290
1957,920
1967,1230
1970,686
1980,980
1984,879
1997,985
1997,1380
2005,810
2007,630
2073,830
2074,720
2079,701
2105,550
2110,846
2122,840
2138,746
2176,770
2185,1050
2194,570
2213,630
2228,855
2264,778
2289,1058
2293,1270
2295,1015
2324,790
2362,1090
2365,976
2368,935
2386,1330
2391,1056
2466,692
2483,860
2535,1115
2553,900
2562,1141
2581,1330
2786,704
3077,980
3096,824
3384,1615
3443,727
3451,850
3497,880
3778,903
1030,933
1090,949
1113,763
1115,940
1151,570
1163,446
1235,481
2556,719
1399,973
1425,637
1468,854
1521,431
1535,904
1549,925
1556,686
1585,452
1590,890
1614,765
1614,969
1617,952
1640,931
1658,1005
1668,1112
1681,859
1722,856
1726,1011
1735,841
1746,1042
1749,1015
1765,838
1767,1032
1775,1016
1782,1097
1783,978
1791,1060
1802,1056
1805,850
1810,1065
1817,598
1817,1097
1818,863
1823,1013
1824,1073
1831,882
1833,1021
1839,930
1842,736
1842,895
1844,873
1846,788
1859,919
1863,807
1868,1092
1869,1063
1870,981
1873,1036
1881,965
1888,934
1889,1008
1889,982
1891,1030
1901,932
1901,1029
1901,1004
1904,878
1905,1054
1908,998
1915,982
1917,812
1921,1115
1922,1086
1924,936
1924,1019
1925,744
1926,796
1930,1102
1932,1059
1935,1071
1938,1010
1943,1054
1949,996
1951,1047
1955,1052
1961,1084
1961,1073
1962,997
1968,1072
1973,1080
1976,566
1980,1040
1986,990
1991,1043
1993,1079
1995,1025
2002,679
2003,1063
2005,1022
2005,1074
2006,993
2008,1047
2008,1053
2011,821
2013,1051
2014,938
2015,1066
2019,1040
2021,1058
2028,883
2030,1087
2031,1061
2032,1052
2032,1053
2032,1056
2034,1041
2034,938
2035,1092
2036,972
2036,1049
2038,963
2044,1050
2044,1048
2046,899
2048,991
2049,891
2050,1063
2051,964
2053,1052
2053,1033
2053,1042
2055,1040
2056,1023
2057,1067
2057,988
2057,1067
2059,914
2060,1075
2060,1078
2061,1023
2067,1004
2071,1023
2073,1038
2073,968
2074,1103
2076,1095
2076,893
2077,1039
2078,1021
2082,1009
2084,1073
2084,817
2087,1016
2089,987
2091,971
2092,1066
2096,1003
2100,1054
2103,1100
2104,1035
2105,1024
2109,1077
2109,1042
