MAP,averdelta13
403,-26.8045
383,-26.263
536,-29.06288235
577,-30.18973333
665,-30.3854
657,-30.9376
539,-30.829
620,-31.14969231
691,-30.957
647,-28.51646154
433,-27.6377
427,-28.24966667
399,-25.56528571
391,-29.084
402,-27.174625
384,-27.0062
381,-26.9365
386,-26.83
373,-27.28433333
374,-28.05511111
383,-26.8855
360,-26.30383333
342,-25.47008333
331,-26.474625
308,-26.29591667
268,-25.84484615
240,-24.274875
222,-24.33914286
193,-24.0925
162,-25.37075
148,-24.85733333
133,-24.12214286
133,-24.7588
