MAP,g1
2311.4,1.842
361.4,3.159
361.4,4.524
361.4,9.272
107.1,2.79
107.1,3.267
107.1,1.624
107.1,3.294
107.1,0.951
107.1,0.806
107.1,1.473
107.1,3.85
776.9,1.682
1199.6,1.533
552.2,1.29
331.5,6.027
1273.8,4.086
853.6,5.559
962.9,2.406
657.1,5.587
1273.8,7.7
806.9,5.812
806.9,7.058
454.6,3.461
308,2.25
2924.8,4.227
1762.7,3.794
1762.7,3.005
1762.7,3.46
1385.4,9.873
1385.4,10.399
1385.4,8.925
331.5,9.451
331.5,3.98
1385.4,7.324
1385.4,12.576
1385.4,8.425
331.5,1.373
1390.1,3.009
1123.2,5.07
260.3,2.664
587.7,2.974
1499.7,3.359
587.7,3.411
1390.1,3.488
260.3,3.541
868.9,2.885
1123.2,6.376
868.9,2.991
1499.7,3.433
359.1,2.034
359.1,1.434
1227,4.701
816.4,2.616
1098.2,2.494
342.3,2.189
342.3,2.22
1098.2,1.726
1273.8,1.689
1287.9,1.965
1846.3,2.095
549.2,3.758
816.4,4.802
1062.1,3.176
1062.1,5.997
1062.1,5.247
1062.1,5.138
1313.5,4.157
790,3.459
790,3.259
2421.5,6.995
1273.8,3.793
1273.8,5.537
1273.8,2.125
1273.8,8.376
576.1,3.662
758.3,6.921
758.3,6.31
758.3,3.939
576.1,2.729
795.2,3.321
1381.7,5.572
1381.7,4.524
1381.7,3.727
1025.7,4.105
1025.7,4.855
1025.7,3.319
1025.7,3.275
1058.9,3.749
1025.7,4.205
1025.7,3.255
1025.7,4.98
1273.8,2.108
1273.8,2.174
1273.8,10.082
857.3,1.729
771.9,1.564
650.4,1.577
665,4.466
665,4.466
665,2.049
